Part	Value	Device	Package  Library	Sheet	MODU£
D1	1.3W3V3	ZENER-DIODEZD-5	ZDIO-5       diode	1	MAIN_MCU
D3	1.3W4v7	ZENER-DIODEZD-2.	5 ZDIO-2.5 diode	1	LM_1117
R19	1k	R-EU_0204/5	0204/5       rcl	1	MAIN_MCU
D4	1N4007	DIODE-D-5	D-5      diode	1	LM_1117
D5	1N4007	DIODE-D-5	D-5      diode	1	LM_1117
D8	1N4007	DIODE-D-5	D-5      diode	1	LM_1117
D9	1N4007	1N4004	DO41-10  diode	1	LM_1117
D10	1N4007	1N4004	DO41-10  diode	1	LM_1117
D5	1N4007	1N4004	DO41-10      diode	1	MAIN_MCU
L2	270nH	L-EUL2012C	L2012C           rcl	1	TEA5767
L3	270nH	L-EUL2012C	L2012C           rcl	1	TEA5767
?14V4	3,17/	1,3          3,1	7/1,3 wirepad          1		LM_1117
RESET	332-02	332-02	332-02       con-garry	1	MAIN_MCU
L4	56nH	SM-B5	SM-B5            inductor-neosid	1	TEA5767
L5	600R@100M	BML15HB121SN1	0402         inductors	1	MAIN_MCU
L1	600R@100M	BML15HB121SN1	0402             inductors	1	TEA5767
D2	BAT85	BAT42	DO35-10      diode	1	MAIN_MCU
D10	BAV99	BAV199	SOT23            diode	1	TEA5767
Q3	BD136	BD140	TO126AV  transistor-power	1	LM_1117
Q15	BD136	BD140	TO126AV      transistor-power	1	MAIN_MCU
Q1	BD139	BD139	TO126AV  transistor-power	1	LM_1117
Q14	BD139	BD139	TO126AV      transistor-power	1	MAIN_MCU
L6	BML15HB121SN1	BML15HB121SN1	0402     inductors	1	LM_1117
Q1	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
Q2	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
Q3	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
Q4	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
Q9	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
Q10	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
Q11	BSS138	MOSFET-NCHANNELSMD	SOT23-3      SparkFun	1	MAIN_MCU
IC1	FM TEA5767	TEA5767_MODULE_THT	THT              TEA5767_module	1	TEA5767
X2	GN 3.5 STEREL	STEREOJACK	STX3100      adafruit	1	POWER_AMP
GND	GND	3,81/1,3	3,81/1,3 wirepad	1	LM_1117
ANT1	GNIAZDO SMA1 + GN ANT SAMO	SMA_ANTHENA	AMPHENOL_901-144 Amphenol_By_element14_Batch_1	1	TEA5767
C8	KC100nF 805	C-EUC0805	C0805    rcl	1	LM_1117
C10	KC100nF 805	C-EUC0805	C0805    rcl	1	LM_1117
C14	KC100nF 805	C-EUC0805	C0805    rcl	1	LM_1117
C27	KC100nF 805	C-EUC0805	C0805    rcl	1	LM_1117
C3	KC100nF 805	C-EUC0805	C0805        rcl	1	MAIN_MCU
C4	KC100nF 805	C-EUC0805	C0805        rcl	1	MAIN_MCU
C7	KC100nF 805	C-EUC0805	C0805        rcl	1	MAIN_MCU
C21	KC100nF 805	C-EUC0805	C0805        rcl	1	MAIN_MCU
C1	KC100nF 805	C-EUC0805	C0805        rcl	1	POWER_AMP
C28	KC100nF 805	C-EUC0805	C0805            rcl	1	TEA5767
C17	KC100p/1KV	C-EU025-025X050	C025-025X050     rcl	1	TEA5767
C1	KCM15pF	C-EU025-024X044	C025-024X044 rcl	1	MAIN_MCU
C2	KCM15pF	C-EU025-024X044	C025-024X044 rcl	1	MAIN_MCU
C24	KE10/25 T	CPOL-EUTT2D4	TT2D4    rcl	1	LM_1117
C29	KE10/25 T	CPOL-EUTT2D4	TT2D4    rcl	1	LM_1117
C3	KE10/25 T	CPOL-EUTT2D6	TT2D6        rcl	1	POWER_AMP
C2	KE100/16	CPOL-EUTT2D6	TT2D6            rcl	1	TEA5767
C11	KE2200/25	CPOL-EUE3.5-8	E3,5-8   rcl	1	LM_1117
C12	KE2200/25	CPOL-EUE3.5-8	E3,5-8   rcl	1	LM_1117
C25	KE2200/25	CPOL-EUE3.5-8	E3,5-8   rcl	1	LM_1117
C26	KE2200/25	CPOL-EUE3.5-8	E3,5-8   rcl	1	LM_1117
C31	KE47/160	CPOL-EUTT2D6	TT2D6            rcl	1	TEA5767
C19	KE47/25 C	CPOL-EUC	PANASONIC_C  rcl	1	POWER_AMP
C20	KE47/25 C	CPOL-EUC	PANASONIC_C  rcl	1	POWER_AMP
D1	LED F2 G	SFH482	SFH482   led	1	LM_1117
D7	LED F2 G	SFH482	SFH482       led	1	MAIN_MCU
IC1	LM1117MPX-ADJ	LM1117MPX-ADJ	SOT223   lm1117	1	LM_1117
IC2	LM1117MPX-ADJ	LM1117MPX-ADJ	SOT223   lm1117	1	LM_1117
C4	MKT220NF/250	C-EU025-024X044	C025-024X044     rcl	1	TEA5767
